Time,Ax,Ay,Az,Gx,Gy,Gz
11:30:58:900,0.11,0.13,-9.51,-0.17,-0.08,-0.42
11:30:58:902,-9.73,-0.09,-0.13,-0.17,0.00,-0.32
11:30:58:922,-9.71,-0.02,-0.14,-0.29,-0.23,-0.39
11:30:58:942,-9.67,0.02,-0.20,-0.14,0.00,-0.40
11:30:58:962,-9.74,-0.06,-0.12,-0.26,-0.08,-0.23
11:30:58:982,-9.71,-0.03,-0.18,-0.38,-0.02,-0.36
11:30:59:002,-9.68,0.00,-0.17,-0.34,-0.15,-0.36
11:30:59:022,-9.70,-0.02,-0.10,-0.39,-0.09,-0.31
11:30:59:042,-9.72,-0.06,-0.07,-0.52,-0.11,-0.15
11:30:59:062,-9.70,0.00,-0.19,-0.57,0.04,-0.17
11:30:59:082,-9.74,-0.06,-0.18,-0.50,0.04,-0.20
11:30:59:102,-9.69,-0.02,-0.17,-0.34,0.01,-0.25
11:30:59:122,-9.70,-0.03,-0.13,-0.19,-0.07,-0.33
11:30:59:142,-9.73,-0.07,-0.13,-0.19,-0.29,-0.24
11:30:59:162,-9.68,-0.01,-0.16,-0.05,-0.18,-0.39
11:30:59:182,-9.70,0.00,-0.19,-0.20,-0.20,-0.38
11:30:59:202,-9.72,-0.03,-0.19,-0.10,-0.13,-0.29
11:30:59:222,-9.69,-0.03,-0.15,-0.14,-0.29,-0.28
11:30:59:242,-9.72,-0.05,-0.21,-0.17,-0.21,-0.31
11:30:59:262,-9.68,0.00,-0.17,-0.14,-0.23,-0.29
11:30:59:282,-9.67,-0.02,-0.08,-0.19,-0.21,-0.36
11:30:59:302,-9.76,-0.04,-0.17,-0.19,-0.24,-0.28
11:30:59:322,-9.69,-0.04,-0.13,-0.19,-0.30,-0.26
11:30:59:342,-9.69,0.00,-0.15,-0.18,-0.21,-0.29
11:30:59:362,-9.72,-0.03,-0.14,-0.19,-0.18,-0.05
11:30:59:382,-9.74,-0.05,-0.14,-0.17,-0.06,-0.03
11:30:59:402,-9.70,-0.02,-0.13,-0.18,-0.13,-0.14
11:30:59:422,-9.70,-0.05,-0.14,-0.26,-0.14,-0.20
11:30:59:442,-9.71,-0.02,-0.14,-0.12,-0.08,-0.32
11:30:59:462,-9.68,-0.02,-0.15,-0.09,-0.32,-0.32
11:30:59:482,-9.72,-0.04,-0.15,0.04,-0.26,-0.33
11:30:59:502,-9.73,-0.04,-0.18,0.08,-0.23,-0.38
11:30:59:522,-9.69,0.00,-0.15,-0.15,-0.27,-0.37
11:30:59:542,-9.71,-0.02,-0.13,-0.12,-0.20,-0.39
11:30:59:562,-9.68,-0.02,-0.09,-0.17,-0.17,-0.42
11:30:59:582,-9.69,-0.01,-0.11,-0.24,-0.11,-0.39
11:30:59:602,-9.70,-0.05,-0.16,-0.19,-0.02,-0.35
11:30:59:622,-9.68,-0.02,-0.14,-0.28,-0.23,-0.44
11:30:59:642,-9.71,0.01,-0.19,-0.20,0.00,-0.39
11:30:59:662,-9.73,-0.05,-0.13,-0.26,-0.17,-0.42
11:30:59:682,-9.71,-0.04,-0.14,-0.28,0.04,-0.32
11:30:59:702,-9.67,0.00,-0.14,-0.28,-0.17,-0.41
11:30:59:722,-9.71,-0.08,-0.14,-0.23,-0.27,-0.21
11:30:59:742,-9.70,-0.02,-0.13,-0.08,-0.13,-0.44
11:30:59:762,-9.72,-0.02,-0.12,-0.09,-0.13,-0.37
11:30:59:782,-9.72,-0.03,-0.19,-0.08,-0.16,-0.32
11:30:59:802,-9.68,-0.03,-0.17,-0.18,-0.11,-0.38
11:30:59:822,-9.70,-0.02,-0.13,-0.14,-0.09,-0.40
11:30:59:842,-9.72,-0.07,-0.13,-0.04,0.04,-0.33
11:30:59:862,-9.68,0.00,-0.15,-0.25,0.06,-0.40
11:30:59:882,-9.69,-0.03,-0.10,-0.34,-0.05,-0.37
11:30:59:902,-9.71,-0.04,-0.16,-0.34,0.00,-0.47
11:30:59:922,-9.70,-0.04,-0.12,-0.08,-0.27,-0.41
11:30:59:942,-9.71,-0.06,-0.12,-0.18,-0.20,-0.38
