Time,Ax,Ay,Az,Gx,Gy,Gz
11:25:56:788,-0.04,0.12,10.02,-0.26,-0.12,-0.40
11:25:56:802,0.10,0.16,-9.51,-0.12,-0.15,-0.31
11:25:56:822,0.10,0.19,-9.50,-0.17,-0.14,-0.31
11:25:56:842,0.09,0.16,-9.54,-0.12,-0.11,-0.29
11:25:56:862,0.10,0.15,-9.46,-0.24,-0.03,-0.40
11:25:56:882,0.10,0.15,-9.54,-0.21,-0.18,-0.30
11:25:56:902,0.10,0.16,-9.49,-0.23,-0.19,-0.32
11:25:56:922,0.11,0.16,-9.51,-0.11,0.04,-0.38
11:25:56:942,0.12,0.15,-9.52,-0.18,-0.06,-0.40
11:25:56:962,0.10,0.14,-9.55,-0.22,-0.18,-0.26
11:25:56:982,0.10,0.15,-9.51,-0.26,-0.09,-0.40
11:25:57:002,0.09,0.16,-9.55,-0.26,-0.20,-0.31
11:25:57:022,0.10,0.17,-9.52,-0.15,-0.03,-0.37
11:25:57:042,0.10,0.18,-9.49,-0.08,-0.06,-0.39
11:25:57:062,0.09,0.14,-9.57,-0.16,-0.11,-0.39
11:25:57:082,0.11,0.17,-9.55,-0.10,-0.20,-0.39
11:25:57:102,0.09,0.14,-9.52,-0.28,-0.31,-0.32
11:25:57:122,0.10,0.17,-9.52,-0.18,-0.28,-0.40
11:25:57:142,0.11,0.17,-9.55,-0.21,-0.19,-0.44
11:25:57:162,0.10,0.14,-9.48,-0.24,-0.24,-0.31
11:25:57:182,0.10,0.17,-9.54,-0.20,-0.26,-0.36
11:25:57:202,0.10,0.16,-9.50,-0.20,-0.04,-0.39
11:25:57:222,0.10,0.17,-9.54,-0.10,0.08,-0.28
11:25:57:242,0.11,0.16,-9.50,-0.30,-0.27,-0.27
11:25:57:262,0.13,0.15,-9.54,-0.28,-0.24,-0.36
11:25:57:282,0.08,0.17,-9.54,-0.20,-0.12,-0.39
11:25:57:302,0.11,0.14,-9.50,-0.17,-0.14,-0.29
11:25:57:322,0.11,0.16,-9.55,-0.12,-0.12,-0.47
11:25:57:342,0.11,0.15,-9.53,-0.25,-0.19,-0.40
11:25:57:362,0.11,0.15,-9.53,-0.17,-0.13,-0.34
11:25:57:382,0.10,0.17,-9.54,-0.14,-0.06,-0.36
11:25:57:402,0.10,0.16,-9.53,-0.19,-0.19,-0.35
11:25:57:422,0.10,0.17,-9.47,-0.17,-0.26,-0.36
11:25:57:442,0.11,0.15,-9.55,-0.13,-0.01,-0.35
11:25:57:462,0.11,0.16,-9.50,-0.21,-0.10,-0.36
11:25:57:482,0.10,0.17,-9.50,-0.26,-0.19,-0.30
11:25:57:502,0.10,0.15,-9.52,-0.12,-0.06,-0.34
11:25:57:522,0.12,0.17,-9.53,-0.13,-0.11,-0.40
11:25:57:542,0.12,0.17,-9.51,-0.17,-0.20,-0.35
11:25:57:562,0.09,0.17,-9.55,-0.16,-0.05,-0.39
11:25:57:582,0.11,0.15,-9.53,-0.14,-0.14,-0.48
11:25:57:602,0.10,0.13,-9.51,-0.20,-0.15,-0.32
11:25:57:622,0.10,0.17,-9.52,-0.16,-0.20,-0.27
11:25:57:642,0.11,0.15,-9.52,-0.28,-0.08,-0.42
11:25:57:662,0.11,0.15,-9.48,-0.26,-0.08,-0.40
11:25:57:682,0.11,0.15,-9.48,-0.21,-0.18,-0.34
11:25:57:702,0.09,0.16,-9.52,-0.11,-0.04,-0.42
11:25:57:723,0.11,0.14,-9.54,-0.19,-0.24,-0.36
11:25:57:742,0.09,0.16,-9.51,-0.20,-0.19,-0.37
11:25:57:762,0.09,0.17,-9.53,-0.30,-0.35,-0.34
11:25:57:782,0.09,0.17,-9.51,-0.20,-0.16,-0.34
11:25:57:802,0.10,0.15,-9.54,-0.17,-0.09,-0.39
11:25:57:822,0.11,0.17,-9.54,-0.29,-0.09,-0.34
11:25:57:842,0.12,0.18,-9.54,-0.10,-0.12,-0.40
11:25:57:862,0.10,0.16,-9.52,-0.20,-0.03,-0.33
11:25:57:882,0.11,0.16,-9.54,-0.13,0.07,-0.36
11:25:57:902,0.10,0.15,-9.54,-0.17,-0.20,-0.35
11:25:57:922,0.12,0.16,-9.53,-0.21,-0.25,-0.40
11:25:57:942,0.10,0.15,-9.55,-0.23,-0.10,-0.35
11:25:57:962,0.11,0.17,-9.53,-0.08,-0.15,-0.32
11:25:57:983,0.10,0.15,-9.52,-0.23,-0.28,-0.36
11:25:58:002,0.08,0.15,-9.53,-0.29,-0.32,-0.37
11:25:58:022,0.10,0.14,-9.50,-0.20,-0.06,-0.41
11:25:58:042,0.10,0.14,-9.54,-0.20,-0.05,-0.39
11:25:58:062,0.11,0.16,-9.48,-0.21,-0.05,-0.36
11:25:58:082,0.11,0.16,-9.55,-0.13,-0.07,-0.38
11:25:58:102,0.11,0.15,-9.55,-0.12,-0.03,-0.43
11:25:58:122,0.12,0.15,-9.49,-0.26,-0.13,-0.30
11:25:58:142,0.09,0.16,-9.56,-0.17,-0.06,-0.30
11:25:58:162,0.10,0.14,-9.52,-0.13,0.05,-0.42
11:25:58:182,0.11,0.14,-9.51,-0.27,-0.15,-0.42
11:25:58:202,0.12,0.17,-9.52,-0.18,-0.05,-0.40
11:25:58:223,0.09,0.16,-9.55,-0.12,-0.10,-0.42
11:25:58:242,0.11,0.15,-9.50,-0.31,-0.17,-0.36
11:25:58:263,0.11,0.13,-9.52,-0.17,-0.05,-0.47
11:25:58:283,0.10,0.16,-9.48,-0.20,-0.22,-0.37
11:25:58:302,0.08,0.17,-9.53,-0.18,-0.11,-0.31
11:25:58:323,0.11,0.17,-9.51,-0.25,-0.25,-0.38
11:25:58:343,0.10,0.16,-9.53,-0.23,-0.20,-0.32
11:25:58:363,0.10,0.16,-9.52,-0.11,-0.03,-0.32
11:25:58:383,0.10,0.15,-9.53,-0.24,-0.12,-0.30
11:25:58:403,0.11,0.16,-9.52,-0.31,-0.28,-0.32
11:25:58:423,0.11,0.13,-9.49,-0.21,-0.18,-0.37
11:25:58:443,0.09,0.14,-9.50,-0.24,-0.15,-0.36
11:25:58:463,0.09,0.14,-9.52,-0.11,-0.16,-0.37
11:25:58:483,0.12,0.14,-9.49,-0.14,-0.11,-0.40
11:25:58:503,0.10,0.15,-9.51,-0.19,-0.16,-0.36
11:25:58:523,0.09,0.18,-9.49,-0.13,0.00,-0.34
11:25:58:543,0.12,0.15,-9.49,-0.19,-0.04,-0.36
11:25:58:563,0.12,0.15,-9.50,-0.14,-0.09,-0.36
11:25:58:583,0.10,0.13,-9.52,-0.30,-0.22,-0.39
11:25:58:603,0.11,0.15,-9.49,-0.20,-0.25,-0.35
11:25:58:623,0.10,0.16,-9.50,-0.20,-0.17,-0.31
11:25:58:643,0.11,0.16,-9.45,-0.24,-0.10,-0.40
11:25:58:663,0.10,0.16,-9.53,-0.26,-0.16,-0.44
11:25:58:683,0.11,0.16,-9.51,-0.24,-0.18,-0.42
11:25:58:703,0.11,0.14,-9.52,-0.18,-0.24,-0.29
11:25:58:723,0.12,0.14,-9.53,-0.25,-0.10,-0.40
11:25:58:743,0.11,0.16,-9.53,-0.07,-0.01,-0.36
11:25:58:763,0.13,0.17,-9.52,-0.17,-0.12,-0.43
11:25:58:783,0.09,0.16,-9.50,-0.34,-0.35,-0.31
11:25:58:803,0.09,0.17,-9.45,-0.28,-0.23,-0.33
11:25:58:823,0.12,0.15,-9.38,-0.47,-0.39,-0.39
11:25:58:843,0.10,0.15,-9.77,-0.14,-0.05,-0.34
11:25:58:863,0.11,0.16,-9.29,-0.06,0.01,-0.42
11:25:58:883,0.10,0.14,-9.55,-0.26,-0.29,-0.37
11:25:58:903,0.11,0.15,-9.46,-0.32,-0.31,-0.32
11:25:58:923,0.10,0.15,-9.61,-0.20,-0.24,-0.31
11:25:58:943,0.12,0.16,-9.44,-0.14,-0.20,-0.42
11:25:58:963,0.10,0.15,-9.55,-0.10,-0.08,-0.42
11:25:58:983,0.10,0.15,-9.48,-0.26,-0.20,-0.32
11:25:59:003,0.12,0.17,-9.41,-0.22,-0.28,-0.33
11:25:59:023,0.09,0.16,-9.65,-0.23,-0.25,-0.36
11:25:59:043,0.14,0.16,-9.21,-0.40,-0.49,-0.39
11:25:59:063,0.10,0.14,-9.52,-0.44,-0.32,-0.44
11:25:59:083,0.07,0.13,-9.09,-0.97,-1.31,-0.39
11:25:59:103,0.10,0.12,-9.84,-0.16,0.13,-0.39
11:25:59:123,0.14,0.18,-8.99,0.29,0.49,-0.37
11:25:59:143,0.07,0.16,-9.45,-0.02,0.05,-0.45
11:25:59:163,0.09,0.12,-9.22,-0.42,-0.47,-0.36
11:25:59:183,0.06,0.15,-9.71,-0.28,-0.28,-0.38
11:25:59:203,0.15,0.16,-9.28,-0.24,-0.32,-0.37
11:25:59:223,0.10,0.16,-9.73,-0.25,-0.12,-0.37
11:25:59:243,0.07,0.12,-9.43,-0.29,-0.22,-0.38
11:25:59:263,0.11,0.16,-9.40,-0.06,-0.04,-0.37
11:25:59:283,0.11,0.14,-9.42,-0.20,-0.24,-0.35
11:25:59:303,0.13,0.14,-9.57,-0.27,-0.09,-0.34
11:25:59:323,0.10,0.14,-9.51,-0.22,-0.23,-0.41
11:25:59:343,0.08,0.14,-9.54,-0.29,-0.24,-0.31
11:25:59:363,0.10,0.17,-9.50,-0.20,-0.07,-0.45
11:25:59:383,0.10,0.15,-9.52,-0.13,-0.01,-0.37
11:25:59:403,0.10,0.16,-9.52,-0.26,-0.10,-0.35
11:25:59:423,0.12,0.14,-9.58,-0.17,-0.16,-0.32
11:25:59:443,0.08,0.13,-9.44,-0.22,-0.19,-0.42
11:25:59:463,0.09,0.16,-9.51,-0.17,-0.19,-0.38
11:25:59:483,0.10,0.17,-9.55,-0.24,-0.21,-0.39
11:25:59:503,0.10,0.17,-9.51,-0.12,-0.07,-0.39
11:25:59:523,0.12,0.15,-9.49,-0.24,-0.17,-0.38
11:25:59:543,0.09,0.14,-9.51,-0.29,-0.10,-0.29
11:25:59:563,0.07,0.14,-9.54,-0.18,-0.16,-0.29
11:25:59:583,0.11,0.16,-9.51,-0.27,-0.13,-0.38
11:25:59:603,0.12,0.14,-9.51,-0.18,-0.13,-0.31
11:25:59:623,0.11,0.18,-9.51,-0.17,-0.17,-0.39
11:25:59:643,0.09,0.14,-9.53,-0.20,-0.19,-0.36
11:25:59:663,0.10,0.15,-9.48,-0.31,-0.30,-0.32
11:25:59:683,0.10,0.15,-9.51,-0.16,-0.05,-0.36
11:25:59:703,0.11,0.13,-9.51,-0.26,-0.22,-0.37
11:25:59:723,0.08,0.17,-9.52,-0.09,-0.14,-0.42
11:25:59:743,0.10,0.16,-9.51,-0.24,-0.13,-0.37
11:25:59:763,0.09,0.15,-9.52,-0.20,-0.19,-0.35
11:25:59:783,0.11,0.15,-9.51,-0.25,-0.20,-0.37
11:25:59:803,0.08,0.14,-9.50,-0.28,-0.20,-0.37
11:25:59:823,0.11,0.13,-9.52,-0.15,-0.14,-0.38
11:25:59:843,0.11,0.15,-9.49,-0.20,-0.25,-0.34
11:25:59:863,0.09,0.15,-9.49,-0.16,-0.03,-0.39
11:25:59:883,0.09,0.17,-9.53,-0.15,-0.10,-0.38
11:25:59:903,0.09,0.14,-9.50,-0.19,-0.16,-0.43
11:25:59:923,0.08,0.16,-9.48,-0.27,-0.20,-0.37
11:25:59:943,0.12,0.12,-9.53,-0.17,-0.20,-0.37
11:25:59:963,0.10,0.15,-9.52,-0.26,-0.11,-0.45
11:25:59:983,0.09,0.14,-9.50,-0.28,-0.20,-0.37
11:26:00:003,0.10,0.15,-9.53,-0.20,-0.20,-0.40
11:26:00:023,0.11,0.14,-9.52,-0.22,-0.19,-0.31
11:26:00:043,0.10,0.13,-9.53,-0.21,-0.17,-0.36
11:26:00:063,0.12,0.13,-9.52,-0.27,-0.25,-0.37
11:26:00:083,0.09,0.16,-9.51,-0.29,-0.11,-0.33
11:26:00:103,0.10,0.16,-9.49,-0.22,-0.19,-0.37
11:26:00:123,0.09,0.16,-9.52,-0.26,-0.25,-0.28
11:26:00:143,0.07,0.15,-9.51,-0.27,-0.06,-0.38
11:26:00:163,0.10,0.14,-9.52,-0.21,-0.09,-0.29
11:26:00:183,0.10,0.15,-9.48,-0.30,-0.17,-0.32
11:26:00:203,0.11,0.15,-9.47,-0.14,-0.20,-0.33
11:26:00:223,0.12,0.17,-9.51,-0.21,-0.11,-0.35
11:26:00:243,0.09,0.15,-9.51,-0.24,-0.13,-0.42
11:26:00:263,0.11,0.14,-9.54,-0.24,-0.17,-0.32
11:26:00:283,0.10,0.15,-9.53,-0.23,-0.17,-0.36
11:26:00:303,0.07,0.16,-9.51,-0.16,-0.06,-0.44
11:26:00:323,0.10,0.18,-9.51,-0.29,-0.10,-0.32
11:26:00:343,0.10,0.16,-9.51,-0.20,-0.08,-0.37
11:26:00:363,0.10,0.16,-9.49,-0.14,-0.11,-0.39
11:26:00:383,0.10,0.14,-9.52,-0.16,-0.09,-0.36
11:26:00:403,0.09,0.14,-9.52,-0.15,-0.16,-0.35
11:26:00:423,0.11,0.16,-9.54,-0.21,-0.12,-0.31
11:26:00:443,0.10,0.15,-9.49,-0.19,-0.18,-0.35
11:26:00:463,0.11,0.13,-9.54,-0.26,-0.18,-0.31
11:26:00:483,0.10,0.18,-9.48,-0.26,-0.34,-0.36
11:26:00:503,0.11,0.15,-9.53,-0.22,-0.23,-0.45
11:26:00:523,0.10,0.16,-9.52,-0.23,0.04,-0.40
11:26:00:543,0.10,0.16,-9.48,-0.20,-0.01,-0.39
11:26:00:563,0.10,0.14,-9.50,-0.20,-0.09,-0.42
11:26:00:583,0.08,0.14,-9.49,-0.21,-0.21,-0.34
11:26:00:603,0.11,0.14,-9.51,-0.06,-0.12,-0.37
11:26:00:623,0.08,0.14,-9.53,-0.25,-0.10,-0.44
11:26:00:643,0.09,0.17,-9.49,-0.21,-0.23,-0.41
11:26:00:663,0.11,0.14,-9.55,-0.15,-0.22,-0.47
11:26:00:683,0.10,0.15,-9.50,-0.25,-0.17,-0.35
11:26:00:703,0.09,0.15,-9.51,-0.20,-0.19,-0.38
11:26:00:723,0.09,0.13,-9.51,-0.19,-0.16,-0.32
11:26:00:743,0.09,0.15,-9.53,-0.24,-0.15,-0.43
11:26:00:763,0.10,0.16,-9.53,-0.26,-0.16,-0.32
11:26:00:783,0.12,0.14,-9.51,-0.16,-0.11,-0.30
11:26:00:803,0.09,0.16,-9.52,-0.19,-0.19,-0.39
11:26:00:823,0.10,0.16,-9.50,-0.29,-0.30,-0.35
11:26:00:843,0.09,0.15,-9.56,-0.11,-0.19,-0.41
11:26:00:863,0.11,0.16,-9.55,-0.23,-0.13,-0.32
11:26:00:883,0.10,0.16,-9.53,-0.17,-0.13,-0.34
11:26:00:903,0.09,0.17,-9.53,-0.24,-0.21,-0.33
11:26:00:923,0.08,0.15,-9.54,-0.25,-0.17,-0.37
11:26:00:943,0.09,0.14,-9.52,-0.23,-0.16,-0.39
11:26:00:963,0.10,0.13,-9.51,-0.20,-0.17,-0.37
11:26:00:983,0.07,0.14,-9.47,-0.14,-0.10,-0.41
11:26:01:003,0.11,0.15,-9.50,-0.22,-0.03,-0.41
11:26:01:023,0.11,0.16,-9.52,-0.16,-0.12,-0.37
