Time,Ax,Ay,Az,Gx,Gy,Gz
18:50:43:6034,-9.38,-0.18,-2.28,0.08,-0.15,-0.40
18:50:43:6234,-9.38,-0.14,-2.28,0.03,-0.01,-0.43
18:50:43:6455,-9.42,-0.17,-2.29,0.26,0.11,-0.20
18:50:43:6634,-9.39,-0.17,-2.28,-0.15,-0.03,-0.06
18:50:43:6834,-9.40,-0.19,-2.28,-0.35,-0.02,-0.11
18:50:43:7034,-9.40,-0.19,-2.33,-0.03,-0.38,-0.20
18:50:43:7234,-9.41,-0.18,-2.26,-0.04,-0.29,-0.50
18:50:43:7434,-9.38,-0.16,-2.31,-0.20,-0.35,-0.62
18:50:43:7634,-9.39,-0.15,-2.29,0.49,0.05,-0.66
18:50:43:7834,-9.42,-0.13,-2.30,-0.40,-0.04,-0.42
18:50:43:8034,-9.41,-0.17,-2.26,-0.77,-0.33,-0.08
18:50:43:8234,-9.40,-0.18,-2.25,-0.15,-0.15,-0.27
18:50:43:8434,-9.38,-0.15,-2.29,0.21,-0.17,-0.38
18:50:43:8634,-9.39,-0.18,-2.29,0.01,-0.09,-0.33
18:50:43:8834,-9.38,-0.18,-2.26,-0.55,-0.21,-0.41
18:50:43:9034,-9.40,-0.15,-2.29,-0.74,-0.17,-0.45
18:50:43:9235,-9.40,-0.16,-2.32,-0.27,-0.17,-0.44
18:50:43:9434,-9.39,-0.16,-2.32,-0.31,-0.28,-0.44
18:50:43:9633,-9.37,-0.19,-2.27,-0.07,-0.17,-0.43
18:50:43:9833,-9.39,-0.17,-2.29,-0.10,-0.08,-0.61
18:50:44:0033,-9.40,-0.12,-2.31,0.02,0.14,-0.66
18:50:44:0233,-9.38,-0.15,-2.28,-0.28,-0.03,-0.31
18:50:44:0433,-9.40,-0.17,-2.31,-0.52,-0.29,-0.03
18:50:44:0633,-9.39,-0.19,-2.26,-0.24,-0.28,-0.19
18:50:44:0833,-9.40,-0.19,-2.29,-0.05,-0.44,-0.44
18:50:44:1034,-9.40,-0.13,-2.30,0.00,-0.38,-0.58
18:50:44:1234,-9.40,-0.11,-2.29,-0.16,-0.36,-0.43
18:50:44:1455,-9.41,-0.15,-2.28,0.12,-0.18,-0.06
18:50:44:1634,-9.41,-0.17,-2.28,-0.05,-0.13,0.26
18:50:44:1834,-9.41,-0.25,-2.29,-0.24,-0.05,0.10
18:50:44:2034,-9.41,-0.22,-2.29,-0.13,-0.06,-0.58
18:50:44:2234,-9.40,-0.17,-2.27,-0.11,-0.04,-1.09
18:50:44:2434,-9.43,-0.17,-2.28,0.01,-0.11,-1.09
18:50:44:2634,-9.40,-0.13,-2.29,-0.30,-0.11,-0.84
18:50:44:2834,-9.38,-0.12,-2.31,-0.57,0.05,-0.44
18:50:44:3034,-9.41,-0.12,-2.26,-0.32,-0.05,-0.01
18:50:44:3234,-9.41,-0.21,-2.32,-0.11,0.07,0.31
18:50:44:3434,-9.41,-0.21,-2.30,-0.19,-0.23,0.00
18:50:44:3634,-9.40,-0.18,-2.28,-0.29,-0.48,-0.61
18:50:44:3834,-9.43,-0.15,-2.27,-0.25,-0.08,-0.87
18:50:44:4034,-9.41,-0.09,-2.26,-0.48,0.00,-0.74
18:50:44:4234,-9.40,-0.10,-2.27,0.07,0.36,-0.12
18:50:44:4434,-9.40,-0.19,-2.29,-0.48,0.01,0.38
18:50:44:4634,-9.41,-0.24,-2.32,-0.55,-0.18,0.11
18:50:44:4834,-9.39,-0.21,-2.26,-0.06,-0.35,-0.55
18:50:44:5034,-9.44,-0.19,-2.31,0.20,-0.19,-0.94
18:50:44:5234,-9.38,-0.09,-2.31,-0.02,-0.05,-0.84
18:50:44:5434,-9.40,-0.11,-2.27,-0.47,-0.18,-0.22
18:50:44:5634,-9.40,-0.19,-2.29,-0.34,-0.18,0.12
18:50:44:5834,-9.41,-0.21,-2.31,-0.05,-0.12,-0.05
18:50:44:6034,-9.41,-0.22,-2.25,-0.12,-0.28,-0.52
18:50:44:6234,-9.39,-0.17,-2.27,0.20,-0.02,-0.95
18:50:44:6456,-9.40,-0.11,-2.27,-0.11,-0.23,-0.91
18:50:44:6634,-9.41,-0.09,-2.29,-0.29,-0.09,-0.44
18:50:44:6835,-9.39,-0.16,-2.29,-0.25,-0.01,-0.03
18:50:44:7034,-9.39,-0.19,-2.29,-0.07,-0.09,0.20
18:50:44:7235,-9.41,-0.19,-2.28,-0.03,-0.33,-0.12
18:50:44:7434,-9.38,-0.17,-2.27,-0.08,-0.34,-0.36
18:50:44:7635,-9.41,-0.17,-2.30,-0.16,-0.15,-0.57
18:50:44:7835,-9.40,-0.15,-2.30,-0.29,-0.09,-0.40
18:50:44:8035,-9.39,-0.15,-2.25,-0.17,-0.27,-0.37
18:50:44:8235,-9.41,-0.15,-2.27,-0.13,-0.13,-0.20
18:50:44:8435,-9.40,-0.19,-2.28,-0.07,0.04,0.07
18:50:44:8635,-9.43,-0.19,-2.30,-0.20,-0.23,-0.12
18:50:44:8835,-9.39,-0.19,-2.27,0.08,-0.39,-0.28
18:50:44:9035,-9.39,-0.19,-2.29,0.34,-0.11,-0.38
18:50:44:9236,-9.37,-0.14,-2.34,-0.01,-0.15,-0.45
18:50:44:9436,-9.39,-0.13,-2.25,-0.20,-0.40,-0.15
18:50:44:9636,-9.42,-0.19,-2.27,-0.18,-0.02,-0.08
18:50:44:9836,-9.41,-0.23,-2.30,-0.22,-0.09,-0.14
18:50:45:0036,-9.40,-0.19,-2.30,-0.21,-0.52,-0.58
18:50:45:0236,-9.39,-0.16,-2.26,-0.21,-0.36,-0.81
18:50:45:0436,-9.39,-0.12,-2.26,-0.26,-0.11,-0.73
18:50:45:0636,-9.40,-0.15,-2.30,-0.21,-0.04,-0.26
18:50:45:0836,-9.40,-0.18,-2.26,-0.55,-0.17,-0.28
18:50:45:1036,-9.40,-0.17,-2.31,-0.06,-0.14,-0.36
18:50:45:1236,-9.41,-0.19,-2.30,-0.07,-0.20,-0.42
18:50:45:1458,-9.41,-0.19,-2.26,-0.36,-0.29,-0.52
18:50:45:1636,-9.40,-0.15,-2.26,-0.41,-0.28,-0.49
18:50:45:1837,-9.39,-0.12,-2.28,-0.10,-0.21,-0.46
18:50:45:2036,-9.41,-0.15,-2.29,-0.25,-0.11,-0.10
18:50:45:2236,-9.42,-0.19,-2.29,-0.23,-0.11,0.07
18:50:45:2436,-9.41,-0.23,-2.28,-0.08,-0.21,-0.28
18:50:45:2636,-9.40,-0.19,-2.32,-0.24,-0.20,-0.65
18:50:45:2836,-9.41,-0.13,-2.26,-0.33,-0.25,-0.93
18:50:45:3036,-9.38,-0.09,-2.28,-0.16,-0.37,-0.72
18:50:45:3237,-9.39,-0.12,-2.29,0.29,0.00,-0.30
18:50:45:3436,-9.42,-0.16,-2.28,-0.20,-0.11,0.15
18:50:45:3636,-9.41,-0.25,-2.31,-0.85,-0.09,0.40
18:50:45:3836,-9.40,-0.27,-2.28,-0.51,-0.20,-0.04
18:50:45:4036,-9.41,-0.17,-2.31,0.08,-0.22,-0.91
18:50:45:4237,-9.41,-0.10,-2.26,0.09,-0.21,-1.16
18:50:45:4437,-9.40,-0.11,-2.28,-0.21,-0.20,-0.57
18:50:45:4637,-9.39,-0.15,-2.29,-0.07,-0.39,-0.21
18:50:45:4837,-9.39,-0.19,-2.28,0.14,-0.11,0.08
18:50:45:5037,-9.40,-0.21,-2.30,0.01,-0.08,0.04
18:50:45:5237,-9.41,-0.19,-2.27,-0.11,-0.34,-0.49
18:50:45:5437,-9.42,-0.20,-2.28,-0.08,-0.14,-0.83
18:50:45:5637,-9.41,-0.15,-2.27,-0.75,0.02,-0.87
18:50:45:5837,-9.41,-0.18,-2.31,-0.97,-0.12,-0.74
18:50:45:6037,-9.42,-0.17,-2.31,-0.04,-0.33,-0.82
18:50:45:6237,-9.38,-0.09,-2.29,0.14,-0.20,-0.68
18:50:45:6460,-9.37,-0.09,-2.31,-0.33,-0.19,0.05
18:50:45:6637,-9.41,-0.20,-2.32,-0.34,-0.21,0.45
18:50:45:6837,-9.42,-0.23,-2.25,-0.61,-0.34,-0.19
18:50:45:7037,-9.39,-0.15,-2.28,-0.16,-0.10,-0.46
18:50:45:7237,-9.40,-0.16,-2.30,0.20,0.17,-0.48
18:50:45:7437,-9.45,-0.18,-2.28,-0.21,0.12,-0.08
18:50:45:7637,-9.38,-0.22,-2.31,-0.37,-0.08,0.05
18:50:45:7837,-9.41,-0.19,-2.29,-0.52,-0.30,-0.51
18:50:45:8037,-9.41,-0.16,-2.26,-0.25,0.02,-0.86
18:50:45:8237,-9.39,-0.12,-2.29,0.02,-0.25,-0.66
18:50:45:8437,-9.40,-0.17,-2.27,-0.25,-0.24,-0.16
18:50:45:8637,-9.40,-0.20,-2.29,-0.22,-0.10,-0.04
18:50:45:8837,-9.41,-0.20,-2.30,0.23,-0.04,-0.40
18:50:45:9037,-9.40,-0.17,-2.27,-0.09,-0.03,-0.64
18:50:45:9238,-9.39,-0.14,-2.24,-0.22,-0.30,-0.71
18:50:45:9439,-9.41,-0.15,-2.33,-0.04,-0.18,-0.75
18:50:45:9638,-9.40,-0.15,-2.30,-0.17,-0.14,-0.58
18:50:45:9838,-9.40,-0.14,-2.30,-0.21,0.10,-0.35
18:50:46:0038,-9.39,-0.17,-2.29,-0.21,-0.12,-0.28
18:50:46:0238,-9.39,-0.19,-2.31,-0.20,-0.14,-0.33
18:50:46:0438,-9.42,-0.16,-2.29,-0.23,-0.39,-0.33
18:50:46:0638,-9.40,-0.15,-2.29,-0.04,-0.28,-0.39
18:50:46:0839,-9.41,-0.14,-2.25,0.19,-0.02,-0.18
18:50:46:1039,-9.40,-0.16,-2.30,-0.09,-0.10,-0.12
18:50:46:1239,-9.40,-0.18,-2.30,-0.45,-0.04,-0.03
18:50:46:1460,-9.42,-0.20,-2.28,-0.23,-0.06,-0.14
18:50:46:1639,-9.41,-0.19,-2.28,-0.26,-0.23,-0.47
18:50:46:1839,-9.42,-0.19,-2.30,-0.20,-0.20,-0.70
18:50:46:2039,-9.41,-0.13,-2.27,0.09,-0.12,-0.73
18:50:46:2239,-9.40,-0.13,-2.27,0.02,-0.08,-0.37
18:50:46:2439,-9.41,-0.16,-2.31,-0.09,-0.19,-0.05
18:50:46:2639,-9.42,-0.18,-2.32,0.21,-0.28,-0.16
18:50:46:2839,-9.40,-0.19,-2.29,-0.15,-0.08,-0.31
18:50:46:3039,-9.41,-0.16,-2.32,-0.27,-0.08,-0.38
18:50:46:3239,-9.40,-0.19,-2.31,-0.08,-0.14,-0.52
18:50:46:3439,-9.40,-0.16,-2.30,-0.65,-0.45,-0.33
18:50:46:3639,-9.40,-0.17,-2.28,-0.54,0.00,-0.32
18:50:46:3839,-9.40,-0.13,-2.25,0.12,-0.28,-0.26
18:50:46:4039,-9.40,-0.13,-2.29,0.07,0.04,-0.12
18:50:46:4240,-9.42,-0.20,-2.31,-0.30,0.06,0.06
18:50:46:4439,-9.40,-0.23,-2.29,-0.60,-0.12,-0.10
18:50:46:4639,-9.42,-0.18,-2.29,-0.29,-0.20,-0.68
18:50:46:4839,-9.40,-0.11,-2.30,0.26,-0.10,-0.84
18:50:46:5039,-9.41,-0.15,-2.27,-0.03,-0.08,-0.42
18:50:46:5239,-9.39,-0.19,-2.30,-0.57,0.12,-0.16
18:50:46:5439,-9.42,-0.18,-2.26,-0.39,-0.18,-0.32
18:50:46:5639,-9.41,-0.18,-2.28,0.25,-0.17,-0.37
18:50:46:5839,-9.41,-0.21,-2.29,0.03,-0.14,-0.38
18:50:46:6039,-9.40,-0.17,-2.27,-0.33,-0.20,-0.66
18:50:46:6239,-9.37,-0.09,-2.30,0.04,-0.19,-0.77
18:50:46:6461,-9.40,-0.08,-2.28,-0.08,-0.15,-0.21
18:50:46:6639,-9.39,-0.14,-2.28,-0.55,-0.17,0.45
18:50:46:6840,-9.42,-0.22,-2.26,-0.17,-0.09,0.58
18:50:46:7039,-9.40,-0.21,-2.28,0.31,-0.16,-0.14
18:50:46:7240,-9.39,-0.16,-2.29,0.08,-0.12,-0.52
18:50:46:7439,-9.42,-0.18,-2.31,-0.44,-0.04,-0.51
18:50:46:7640,-9.41,-0.17,-2.27,-0.55,-0.06,-0.55
18:50:46:7840,-9.40,-0.17,-2.24,-0.43,-0.14,-0.57
18:50:46:8040,-9.40,-0.17,-2.25,0.00,-0.13,-0.49
18:50:46:8240,-9.40,-0.19,-2.28,0.16,-0.20,-0.45
18:50:46:8440,-9.38,-0.16,-2.26,0.02,-0.12,-0.36
18:50:46:8640,-9.43,-0.21,-2.33,-0.09,0.07,-0.25
18:50:46:8840,-9.40,-0.19,-2.30,-0.22,-0.10,-0.40
18:50:46:9040,-9.39,-0.17,-2.29,-0.58,-0.28,-0.66
18:50:46:9241,-9.40,-0.18,-2.31,-0.21,-0.24,-0.71
18:50:46:9441,-9.40,-0.16,-2.31,-0.23,-0.26,-0.79
18:50:46:9641,-9.38,-0.14,-2.25,-0.15,-0.28,-0.68
18:50:46:9841,-9.39,-0.06,-2.26,0.02,-0.22,-0.37
18:50:47:0041,-9.39,-0.19,-2.29,0.22,0.10,0.17
18:50:47:0241,-9.42,-0.20,-2.29,-0.41,-0.05,0.42
18:50:47:0441,-9.39,-0.23,-2.30,-0.51,-0.23,0.02
18:50:47:0641,-9.42,-0.21,-2.33,-0.08,-0.07,-0.68
18:50:47:0841,-9.42,-0.13,-2.29,-0.08,-0.15,-1.22
18:50:47:1041,-9.41,-0.09,-2.28,-0.34,-0.31,-0.80
18:50:47:1241,-9.39,-0.16,-2.28,-0.38,-0.05,-0.10
18:50:47:1463,-9.44,-0.19,-2.26,-0.45,-0.01,0.23
18:50:47:1641,-9.39,-0.19,-2.29,0.23,-0.07,0.08
18:50:47:1842,-9.43,-0.17,-2.30,0.58,-0.19,-0.12
18:50:47:2041,-9.40,-0.22,-2.31,-0.05,-0.17,-0.08
18:50:47:2241,-9.41,-0.23,-2.32,-0.58,-0.29,-0.48
18:50:47:2441,-9.40,-0.17,-2.27,-0.07,-0.35,-1.16
18:50:47:2641,-9.41,-0.07,-2.30,-0.13,-0.10,-1.04
18:50:47:2841,-9.40,-0.10,-2.29,-0.34,-0.27,-0.52
