Time,Ax,Ay,Az,Gx,Gy,Gz
14:43:28:8035,2.28,0.20,9.82,-0.12,-0.23,-0.37
14:43:28:8162,0.07,-2.38,9.71,-0.23,-0.08,-0.41
14:43:28:8362,0.06,-2.40,9.70,-0.13,-0.07,-0.42
14:43:28:8562,0.06,-2.41,9.71,-0.20,-0.12,-0.34
14:46:20:1103,0.09,-2.41,9.71,-0.17,-0.20,-0.33
14:46:20:1302,0.07,-2.40,9.70,-0.20,0.02,-0.40
14:46:20:1503,0.05,-2.41,9.67,-0.17,0.00,-0.28
14:46:20:1703,0.04,-2.41,9.72,-0.14,-0.13,-0.32
14:46:20:1903,0.07,-2.39,9.71,-0.29,-0.11,-0.40
14:46:20:2103,0.06,-2.38,9.75,-0.22,-0.26,-0.37
14:46:20:2303,0.06,-2.40,9.71,-0.08,-0.04,-0.35
14:46:20:2503,0.07,-2.41,9.74,-0.32,-0.35,-0.36
14:46:20:2703,0.03,-2.40,9.68,-0.19,-0.08,-0.42
14:46:20:2903,0.05,-2.42,9.71,-0.22,-0.21,-0.38
14:46:20:3103,0.05,-2.39,9.65,-0.25,-0.15,-0.32
14:46:20:3303,0.08,-2.40,9.70,-0.23,-0.09,-0.33
14:46:20:3503,0.05,-2.40,9.68,-0.28,-0.26,-0.36
14:46:20:3703,0.04,-2.39,9.71,-0.19,-0.21,-0.34
14:46:20:3903,0.05,-2.41,9.73,-0.18,-0.15,-0.40
14:46:20:4104,0.06,-2.39,9.65,-0.24,-0.19,-0.37
14:46:20:4303,0.03,-2.39,9.70,-0.32,-0.22,-0.32
14:46:20:4503,0.03,-2.39,9.72,-0.20,-0.07,-0.41
14:46:20:4703,0.06,-2.39,9.67,-0.20,-0.13,-0.31
14:46:20:4903,0.06,-2.42,9.75,-0.18,0.05,-0.41
14:46:20:5103,0.05,-2.40,9.70,-0.24,-0.09,-0.36
14:46:20:5303,0.06,-2.43,9.73,-0.25,-0.22,-0.32
14:46:20:5503,0.06,-2.42,9.67,-0.24,-0.28,-0.44
14:46:20:5703,0.08,-2.38,9.73,-0.32,-0.22,-0.33
14:46:20:5903,0.06,-2.41,9.62,-0.10,-0.22,-0.37
14:46:20:6103,0.06,-2.37,9.72,-0.28,-0.25,-0.31
14:46:20:6303,0.06,-2.40,9.65,-0.15,-0.17,-0.36
14:46:20:6503,0.04,-2.41,9.77,-0.30,-0.27,-0.35
14:46:20:6704,0.05,-2.38,9.63,-0.21,-0.13,-0.38
14:46:20:6903,0.05,-2.42,9.72,-0.16,-0.15,-0.41
14:46:20:7103,0.05,-2.40,9.71,-0.16,-0.08,-0.39
14:46:20:7303,0.05,-2.42,9.76,-0.09,-0.10,-0.40
14:46:20:7503,0.06,-2.40,9.75,-0.28,-0.23,-0.36
14:46:20:7703,0.06,-2.42,9.71,-0.12,-0.14,-0.35
14:46:20:7903,0.02,-2.39,9.72,-0.29,-0.20,-0.35
14:46:20:8105,0.05,-2.41,9.68,-0.11,-0.06,-0.37
14:46:20:8304,0.03,-2.42,9.69,-0.11,-0.11,-0.38
14:46:20:8504,0.04,-2.37,9.65,-0.25,-0.17,-0.29
14:46:20:8705,0.03,-2.41,9.70,-0.26,-0.21,-0.36
